Topic (EN),Topic (VI),Word A (EN),Word A (VI),Word B (EN),Word B (VI)
Cartoons,Hoạt hình,Beyblade,Con quay Beyblade,Pokemon,Pokemon
Cartoons,Hoạt hình,Oggy's Cockroaches,Những chú gián của Oggy,Tom's Jerry,Jerry của Tom
Cartoons,Hoạt hình,Doraemon's Gadgets,Tiện ích của Doremon,Ben 10's Omnitrix,Omnitrix của Ben 10
Drinks,Đồ uống,Pepsi,Pepsi,Coca Cola,Coca Cola
Food,Món ăn,Sandwich,Bánh mỳ kẹp,Burger,Bánh mì kẹp thịt
Sports,Thể thao,Cricket,Dế,Football,Bóng đá
Sports,Thể thao,Messi,Messi,Ronaldo,Ronaldo
Sports,Thể thao,Tennis,Quần vợt,Badminton,Cầu lông
Sports,Thể thao,WWE,WWE,UFC,UFC
Sports,Thể thao,Table Tennis,Bóng bàn,Badminton,Cầu lông
Sports,Thể thao,Marathon,Marathon,Sprint,Chạy nước rút
Sports,Thể thao,Coach,Huấn luyện viên,Captain,Thuyền trưởng
Sports,Thể thao,Olympic Gold,Vàng Olympic,World Record,Kỷ lục thế giới
Sports,Thể thao,Swimming,Bơi lội,Diving,Lặn
Sports,Thể thao,Boxing,Quyền anh,Karate,Karate
Sports,Thể thao,Judo,Judo,Taekwondo,Taekwondo
Sports,Thể thao,Archery,Bắn cung,Shooting,Bắn súng
Sports,Thể thao,Weightlifting,Cử tạ,Powerlifting,Cử tạ
Sports,Thể thao,Relay Race,Cuộc đua tiếp sức,Hurdles,Vượt rào
Sports,Thể thao,Long Jump,Nhảy xa,High Jump,Nhảy cao
Sports,Thể thao,Javelin,Lao,Shot Put,Cú ném
Sports,Thể thao,Goalkeeper,Thủ môn,Defender,Hậu vệ
Sports,Thể thao,Striker,Tiền đạo,Midfielder,Tiền vệ
Vehicles,Phương tiện,Train,Tàu hỏa,Bus,Xe buýt
Vehicles,Phương tiện,Airplane,Máy bay,Helicopter,Trực thăng
Vehicles,Phương tiện,BMW,BMW,Mercedes,Mercedes
Vehicles,Phương tiện,Electric Car,Xe Điện,Petrol Car,Xe xăng
Vehicles,Phương tiện,Hatchback,Hatchback,Sedan,Xe sedan
Vehicles,Phương tiện,School Bus,Xe buýt trường học,City Bus,Xe buýt thành phố
Vehicles,Phương tiện,Boat,Thuyền,Ship,Tàu
Vehicles,Phương tiện,Jet Ski,Jet Ski,Speedboat,Tàu cao tốc
Vehicles,Phương tiện,Hot Air Balloon,Khinh khí cầu,Parachute,Dù
Animals,Động vật,Tiger,Hổ,Lion,Con sư tử
Animals,Động vật,Elephant,Voi,Rhino,Tê giác
Animals,Động vật,Parrot,Vẹt,Pigeon,Chim bồ câu
Animals,Động vật,Crow,Quạ,Sparrow,Chim sẻ
Animals,Động vật,Peacock,Con Công,Flamingo,Chim hồng hạc
Animals,Động vật,Monkey,Khỉ,Gorilla,Khỉ đột
Animals,Động vật,Snake,Rắn,Lizard,Thằn lằn
Animals,Động vật,Dolphin,Cá heo,Whale,Cá voi
Animals,Động vật,Eagle,Đại Bàng,Hawk,Diều hâu
Animals,Động vật,Cow,Bò,Buffalo,Trâu
Animals,Động vật,Horse,Ngựa,Donkey,Con lừa
Animals,Động vật,Camel,Lạc đà,Horse,Ngựa
Animals,Động vật,Bee,Con ong,Wasp,Ong bắp cày
Animals,Động vật,Butterfly,Bướm,Moth,Bướm đêm
Animals,Động vật,Ant,Kiến,Termite,Mối
Animals,Động vật,Frog,Ếch,Toad,Con cóc
Animals,Động vật,Shark,Cá mập,Crocodile,Cá sấu
Animals,Động vật,Panda,Gấu trúc,Bear,Gấu
Animals,Động vật,Fox,Cáo,Wolf,Sói
Animals,Động vật,Deer,Hươu,Antelope,Linh dương
Animals,Động vật,Rabbit,Thỏ,Hamster,Chuột đồng
Animals,Động vật,Penguin,Chim Cánh Cụt,Seal,Con hải cẩu
Animals,Động vật,Ostrich,Đà điểu,Emu,Emu
Animals,Động vật,Owl,Cú,Bat,Dơi
Animals,Động vật,Cheetah,Báo gêpa,Leopard,Báo
Animals,Động vật,Hippopotamus,Hà mã,Crocodile,Cá sấu
Animals,Động vật,Zebra,Ngựa vằn,Horse,Ngựa
Animals,Động vật,Giraffe,Hươu cao cổ,Deer,Hươu
Animals,Động vật,Koala,Gấu túi,Sloth,Con lười
Animals,Động vật,Octopus,Bạch tuộc,Squid,Mực
Animals,Động vật,Crab,Cua,Lobster,Tôm hùm
Animals,Động vật,Jellyfish,Sứa,Starfish,Sao biển
Animals,Động vật,Scorpion,Bọ Cạp,Spider,Nhện
Animals,Động vật,Cockroach,Gián,Beetle,Bọ cánh cứng
Animals,Động vật,Caterpillar,Con sâu bướm,Worm,Sâu
Animals,Động vật,Salmon,Cá hồi,Tuna,Cá ngừ
Music,Âm nhạc,Rap,Rap,Hip-Hop,Hip-Hop
Music,Âm nhạc,DJ,DJ,Band,Ban nhạc
Instruments,Nhạc cụ,Earphones,Tai nghe,Headphones,Tai nghe
Instruments,Nhạc cụ,Speaker,Loa,Soundbar,Thanh âm thanh
Instruments,Nhạc cụ,Piano,Đàn piano,Keyboard,Bàn phím
Instruments,Nhạc cụ,Violin,Violon,Cello,Cello
Music,Âm nhạc,Concert,Buổi hòa nhạc,Festival,Lễ hội
Music,Âm nhạc,Song,Bài hát,Ringtone,Nhạc chuông
Music,Âm nhạc,Album,Album,Playlist,Danh sách phát
Music,Âm nhạc,Radio,Đài phát thanh,Podcast,Podcast
Music,Âm nhạc,Cassette,Băng,CD,Đĩa CD
Clothing,Trang phục,Jeans,Quần jean,Track Pants,Quần chạy bộ
Clothing,Trang phục,Blazer,Áo Blazer,Jacket,Áo khoác
Clothing,Trang phục,Hoodie,Áo hoodie,Sweatshirt,Áo nỉ
Clothing,Trang phục,T-Shirt,Áo thun,Polo,Polo
Clothing,Trang phục,Cap,Mũ,Hat,Mũ
Clothing,Trang phục,Ring,Đổ chuông,Bracelet,Vòng tay
Clothing,Trang phục,Necklace,Vòng cổ,Chain,Chuỗi
Clothing,Trang phục,Watch,Xem,Fitness Band,Ban nhạc thể hình
Clothing,Trang phục,Sunglasses,Kính râm,Spectacles,Kính đeo mắt
Clothing,Trang phục,Belt,Thắt lưng,Suspenders,Treo
Clothing,Trang phục,Tie,Cà vạt,Bow Tie,Thắt nơ
Clothing,Trang phục,Cufflinks,Khuy măng sét,Buttons,Nút
Clothing,Trang phục,Wallet,Ví,Purse,Ví
Places,Địa điểm,Mall,Trung tâm mua sắm,Market,Chợ
Places,Địa điểm,Park,Công viên,Garden,Vườn
Places,Địa điểm,Mosque,Nhà thờ Hồi giáo,Church,Nhà thờ
Places,Địa điểm,Hospital,Bệnh viện,Clinic,Phòng khám
Places,Địa điểm,Hotel,Khách sạn,Hostel,Ký túc xá
Places,Địa điểm,Lake,Hồ,River,Sông
Places,Địa điểm,Waterfall,Thác nước,Dam,Đập
Places,Địa điểm,Forest,Rừng,Jungle,Rừng rậm
Places,Địa điểm,Desert,Sa mạc,Mountain,Núi
Places,Địa điểm,Valley,Thung lũng,Plain,Đồng bằng
Places,Địa điểm,Island,Đảo,Peninsula,Bán đảo
Places,Địa điểm,Parking Lot,Bãi đậu xe,Garage,Gara
Places,Địa điểm,Terrace,Sân thượng,Balcony,Ban công
Places,Địa điểm,Kitchen,Nhà bếp,Pantry,Phòng đựng thức ăn
Objects,Đồ vật,Umbrella,Ô dù,Raincoat,Áo mưa
Objects,Đồ vật,Cooler,Quạt điều hòa,AC,AC
Objects,Đồ vật,Bucket,Xô,Mug,Cốc
Objects,Đồ vật,Towel,Khăn,Bathrobe,Áo choàng tắm
Objects,Đồ vật,Soap,Xà phòng,Bodywash,Sữa tắm
Objects,Đồ vật,Shampoo,Dầu gội,Conditioner,Dầu xả
Objects,Đồ vật,Toothbrush,Bàn chải đánh răng,Tongue Cleaner,Làm sạch lưỡi
Objects,Đồ vật,Mirror,Gương soi,Selfie Camera,Máy ảnh tự sướng
Objects,Đồ vật,Newspaper,Báo,Magazine,Tạp chí
Objects,Đồ vật,Diary,Nhật ký,Notebook,Vở viết
Objects,Đồ vật,Pen,Bút bi,Pencil,Bút chì
Objects,Đồ vật,Backpack,Ba lô,Sling Bag,Túi đeo chéo
Objects,Đồ vật,Pillow,Gối,Cushion,Đệm
Objects,Đồ vật,Blanket,Chăn,Bedsheet,Ga trải giường
Objects,Đồ vật,Table,Bảng,Desk,Bàn làm việc
Objects,Đồ vật,Cupboard,Tủ,Shelf,Kệ
Objects,Đồ vật,Lock,Khóa,Key,Chìa khóa
Objects,Đồ vật,Torch,Ngọn đuốc,Candle,Nến
Objects,Đồ vật,Matchstick,Que diêm,Lighter,Bật lửa
Objects,Đồ vật,Broom,Chổi quét nhà,Mop,Cây lau nhà
Objects,Đồ vật,Broom,Chổi quét nhà,Dustpan,Hốt rác
Objects,Đồ vật,Broom,Chổi quét nhà,Vacuum Cleaner,Máy hút bụi
Objects,Đồ vật,Dustbin,Thùng rác,Trash Bag,Túi đựng rác
Objects,Đồ vật,Washing Machine,Máy Giặt,Dryer,Máy sấy
Objects,Đồ vật,Washing Machine,Máy Giặt,Dishwasher,Máy rửa bát
Objects,Đồ vật,Fridge,Tủ lạnh,Freezer,Tủ đông
Objects,Đồ vật,Microwave,Lò vi sóng,OTG,Otg
Objects,Đồ vật,Mixer,Máy trộn,Blender,Máy xay sinh tố
Objects,Đồ vật,Plate,Tấm,Bowl,Bát
Objects,Đồ vật,Glass,Kính,Mug,Cốc
Objects,Đồ vật,Spoon,Thìa,Fork,Cái nĩa
Objects,Đồ vật,Knife,Dao,Scissors,Kéo
Objects,Đồ vật,Tray,Khay,Thali,Thali
Objects,Đồ vật,Water Bottle,Chai Nước,Flask,Bình
Objects,Đồ vật,Charger,Bộ sạc,Power Bank,Pin dự phòng
Objects,Đồ vật,Plug,Cắm,Socket,Ổ cắm
Objects,Đồ vật,Switch,Chuyển đổi,Remote,Từ xa
Jobs,Nghề nghiệp,Doctor,Bác sĩ,Engineer,Kỹ sư
Jobs,Nghề nghiệp,Lawyer,Luật sư,CA,CA
Jobs,Nghề nghiệp,Teacher,Giáo viên,Professor,Giáo sư
Jobs,Nghề nghiệp,Manager,Người quản lý,Team Lead,Trưởng nhóm
Jobs,Nghề nghiệp,CEO,Giám đốc điều hành,CTO,CTO
Jobs,Nghề nghiệp,Freelancer,Người làm nghề tự do,Contractor,Nhà thầu
Jobs,Nghề nghiệp,Data Scientist,Nhà khoa học dữ liệu,Data Analyst,Nhà phân tích dữ liệu
Jobs,Nghề nghiệp,Designer,Nhà thiết kế,Developer,Nhà phát triển
Jobs,Nghề nghiệp,HR,Nhân sự,Admin,Quản trị viên
Jobs,Nghề nghiệp,Pilot,Phi công,Astronaut,Phi hành gia
Jobs,Nghề nghiệp,Photographer,Nhiếp ảnh gia,Videographer,Người quay phim
Jobs,Nghề nghiệp,Actor,Diễn viên,Model,Người mẫu
Jobs,Nghề nghiệp,Singer,Ca sĩ,Rapper,Rapper
Jobs,Nghề nghiệp,Dancer,Vũ công,Choreographer,Biên đạo múa
Jobs,Nghề nghiệp,Author,Tác giả,Journalist,Nhà báo
Jobs,Nghề nghiệp,Architect,Kiến trúc sư,Interior Designer,Nhà thiết kế nội thất
Jobs,Nghề nghiệp,Dentist,Nha sĩ,Eye Doctor,Bác sĩ mắt
Jobs,Nghề nghiệp,Vet,Bác sĩ thú y,Doctor,Bác sĩ
Jobs,Nghề nghiệp,Police,Cảnh sát,Army,Quân đội
Jobs,Nghề nghiệp,Navy,Hải quân,Air Force,Không quân
Jobs,Nghề nghiệp,Scientist,Nhà khoa học,Researcher,Nhà nghiên cứu
Jobs,Nghề nghiệp,Mechanic,Thợ cơ khí,Electrician,Thợ điện
Jobs,Nghề nghiệp,Plumber,Thợ sửa ống nước,Carpenter,Thợ mộc
Jobs,Nghề nghiệp,Tailor,Thợ may,Fashion Designer,Nhà thiết kế thời trang
Jobs,Nghề nghiệp,Barber,Thợ cắt tóc,Hair Stylist,Nhà tạo mẫu tóc
Jobs,Nghề nghiệp,DJ,DJ,Sound Engineer,Kỹ sư âm thanh
Social Media,Mạng xã hội,Like,Like,Comment,Bình luận
Social Media,Mạng xã hội,Post,Post,Story,Story
Social Media,Mạng xã hội,Follow,Follow,Subscribe,Đăng ký
Social Media,Mạng xã hội,Share,Share,Forward,Chuyển tiếp
Social Media,Mạng xã hội,Upload,Tải lên,Download,Tải xuống
Social Media,Mạng xã hội,Online,Online,Offline,Offline
Social Media,Mạng xã hội,Wi-Fi,Wi-Fi,Mobile Data,Dữ liệu di động
Social Media,Mạng xã hội,Emoji,Biểu tượng cảm xúc,Sticker,Hình dán
Social Media,Mạng xã hội,Photo,Photo,Video,Video
Social Media,Mạng xã hội,Selfie,Selfie,Groupie,Groupie
Social Media,Mạng xã hội,Reel,Reel,Short,Ngắn
Social Media,Mạng xã hội,Meme,Meme,GIF,GIF
Social Media,Mạng xã hội,Hashtag,Thẻ bắt đầu bằng #,Tag,Gắn thẻ
Social Media,Mạng xã hội,DM,DM,Comment,Bình luận
Social Media,Mạng xã hội,Notification,Thông báo,Alert,Cảnh báo
Social Media,Mạng xã hội,Blog,Blog,Vlog,Vlog
Social Media,Mạng xã hội,Stream,Truyền phát,Record,Ghi lại
Social Media,Mạng xã hội,Screenshot,Ảnh chụp màn hình,Screen Recording,Ghi màn hình
Social Media,Mạng xã hội,Profile,Hồ sơ,Bio,Bio
Social Media,Mạng xã hội,Password,Mật khẩu,PIN,PIN
Festivals,Lễ hội,Birthday,Sinh nhật,Anniversary,Ngày kỷ niệm
Festivals,Lễ hội,New Year,Năm Mới,Christmas,Giáng sinh
Festivals,Lễ hội,Friendship Day,Ngày Tình Bạn,Best Friends Day,Ngày tình bạn tốt nhất
Festivals,Lễ hội,Teacher's Day,Ngày nhà giáo,Children's Day,Ngày thiếu nhi
Festivals,Lễ hội,Mother's Day,Ngày của Mẹ,Father's Day,Ngày của Cha
Festivals,Lễ hội,House Party,Tiệc tại gia,Club Night,Câu lạc bộ đêm
Festivals,Lễ hội,Cake,Bánh,Pastry,Bánh ngọt
Festivals,Lễ hội,Candles,Nến,Sparklers,Pháo hoa
Festivals,Lễ hội,Gift,Quà tặng,Surprise,Bất ngờ
Festivals,Lễ hội,Card,Thẻ,E-Card,Thẻ điện tử
Nature,Thiên nhiên,Rain,Mưa,Snow,Tuyết
Nature,Thiên nhiên,Sun,Mặt Trời,Moon,Mặt trăng
Nature,Thiên nhiên,Star,Ngôi sao,Planet,Hành tinh
Nature,Thiên nhiên,Mountain,Núi,Hill,Đồi
Nature,Thiên nhiên,Ocean,Đại dương,Sea,Biển
Nature,Thiên nhiên,Cloud,Đám mây,Fog,Sương mù
Nature,Thiên nhiên,Sunrise,Bình minh,Sunset,Hoàng hôn
Nature,Thiên nhiên,Rainbow,Cầu vồng,Aurora,Cực quang
Nature,Thiên nhiên,Thunder,Sấm sét,Lightning,Sét
Nature,Thiên nhiên,Earthquake,Động đất,Tsunami,Sóng thần
Nature,Thiên nhiên,Volcano,Núi lửa,Geyser,Bình nóng lạnh
Cartoons,Hoạt hình,Naruto,Naruto,Sasuke,Sasuke
Cartoons,Hoạt hình,Doraemon,Đôrêmon,Kiteretsu,Kiteretsu
Cartoons,Hoạt hình,Nobita,Nobita,Korosuke,Korosuke
Cartoons,Hoạt hình,Ben 10 Heatblast,Ben 10 Vụ nổ nhiệt,Human Torch,Ngọn đuốc người
Cartoons,Hoạt hình,Power Rangers Megazord,Power Rangers Megazord,Voltron,Voltron
Cartoons,Hoạt hình,Goku Super Saiyan,Goku Siêu Saiyan,Naruto Sage Mode,Chế độ hiền nhân Naruto
Cartoons,Hoạt hình,Deku,Deku,Goku,Goku
Cartoons,Hoạt hình,Luffy,Luffy,Goku,Goku
Cartoons,Hoạt hình,Levi (AOT),Levi (AOT),Kakashi,Kakashi
Cartoons,Hoạt hình,Light Yagami,Ánh sáng Yagami,Lelouch,Lelouch
Cartoons,Hoạt hình,Death Note,Cuốn Sổ Tử Thần,Code Geass,Mã Geass
Cartoons,Hoạt hình,Dragon Ball Z,Bảy Viên Ngọc Rồng Z,Naruto Shippuden,Naruto Shippuden
Cartoons,Hoạt hình,One Piece,Một Mảnh,Fairy Tail,Đuôi thần tiên
Cartoons,Hoạt hình,Itachi,Itachi,Sasuke,Sasuke
Cartoons,Hoạt hình,Tanjiro,Tanjiro,Deku,Deku
Cartoons,Hoạt hình,Eren,Eren,Kaneki,Kaneki
Cartoons,Hoạt hình,My Hero Academia,Học viện anh hùng của tôi,One Punch Man,Một Người Đàn Punch
Cartoons,Hoạt hình,Jujutsu Kaisen,Jujutsu Kaisen,Demon Slayer,Sát quỷ
Cartoons,Hoạt hình,Sukuna,Sukuna,Muzan,Muzan
Cartoons,Hoạt hình,Gojo,Gojo,Kakashi,Kakashi
Cartoons,Hoạt hình,Totoro,Totoro,Ponyo,Ponyo
Cartoons,Hoạt hình,Spirited Away,Vùng đất linh hồn,Howl's Moving Castle,Lâu đài bay của pháp sư Howl
Cartoons,Hoạt hình,Power Rangers Red,Power Rangers Đỏ,Power Rangers Blue,Power Rangers màu xanh
Cartoons,Hoạt hình,Omnitrix,Omnitrix,Ultimatrix,Ultimatematrix
Cartoons,Hoạt hình,Rasengan,Rasengan,Chidori,Chidori
Cartoons,Hoạt hình,Kamehameha,Kamehameha,Rasengan,Rasengan
Cartoons,Hoạt hình,Sharingan,Sharingan,Byakugan,Byakugan
Cartoons,Hoạt hình,Charizard,Charizard,Shenron,Shenron
Cartoons,Hoạt hình,Infinity Stones,Đá Vô Cực,Dragon Balls,Viên ngọc rồng
Cartoons,Hoạt hình,Avengers,Avengers,Justice League,Liên minh công lý
Cartoons,Hoạt hình,MCU,MCU,DCU,DCU
Cartoons,Hoạt hình,Hogwarts,Hogwarts,Xavier's School,Trường Xavier
Cartoons,Hoạt hình,Thanos,Thanos,Darkseid,Darkseid
Cartoons,Hoạt hình,Hulk,Hulk,Broly,Broly
Cartoons,Hoạt hình,Flash,Flash,Minato,Minato
Sports,Thể thao,Free Kick,Đá phạt trực tiếp,Penalty Kick,Đá phạt đền (Penalty)
Sports,Thể thao,Corner Kick,Đá phạt góc,Throw-In,Ném Biên
Sports,Thể thao,Offside,Việt vị,Foul,Phạm lỗi
Sports,Thể thao,Red Card,Thẻ đỏ,Yellow Card,Thẻ vàng
Sports,Thể thao,Gym,Phòng tập,Calisthenics,Thể dục mềm dẻo
Sports,Thể thao,Yoga,Yoga,Pilates,Pilates
Sports,Thể thao,Push-ups,Chống đẩy,Planks,Ván
Sports,Thể thao,Sprint,Chạy nước rút,Jog,Chạy bộ
Sports,Thể thao,Deadlift,Deadlift,Squat,Ngồi xổm
Sports,Thể thao,Creatine,Creatine,Protein,Chất đạm
Festivals,Lễ hội,Firecracker,Pháo,Sparkler,Pháo hoa
Internet,Internet,Viral,Lan truyền,Trending,Xu hướng
Internet,Internet,Reel,Reel,Story,Story
Internet,Internet,Influencer,Người ảnh hưởng,Content Creator,Người sáng tạo nội dung
Internet,Internet,Subscriber,Người đăng ký,Follower,Người theo dõi
Internet,Internet,Stream,Truyền phát,Upload,Tải lên
Internet,Internet,Thumbnail,Hình thu nhỏ,Banner,Biểu ngữ
Internet,Internet,Shoutout,Shoutout,Tag,Gắn thẻ
Technology,Công nghệ,Java,Java,JavaScript,JavaScript
Technology,Công nghệ,Python,Python,R,R
Technology,Công nghệ,Frontend,Giao diện người dùng,Backend,Phần phụ trợ
Technology,Công nghệ,Git,Git,GitHub,GitHub
Technology,Công nghệ,API,API,SDK,SDK
Technology,Công nghệ,App,App,Website,Website
Technology,Công nghệ,Download,Tải xuống,Install,Cài đặt
Technology,Công nghệ,Cloud,Đám mây,Server,Máy chủ
Technology,Công nghệ,AI,AI,Machine Learning,Học máy
Technology,Công nghệ,ChatGPT,ChatGPT,Claude,Claude
Technology,Công nghệ,RAM,RAM,Storage,Lưu trữ
Technology,Công nghệ,SSD,SSD,HDD,HDD
Technology,Công nghệ,Update,Cập nhật,Upgrade,Nâng cấp
Technology,Công nghệ,Dark Mode,Dark Mode,Light Mode,Light Mode
Technology,Công nghệ,OTP,OTP,PIN,PIN
Technology,Công nghệ,QR Code,QR Code,Barcode,Barcode
Drinks,Đồ uống,Filter Coffee,Cà Phê Lọc,Instant Coffee,Cà phê hòa tan
Cartoons,Hoạt hình,Doraemon's Take-copter,Máy bay trực thăng của Doremon,Shinchan's Elephant Dance,Vũ điệu voi của Shinchan
Cartoons,Hoạt hình,Goku Super Saiyan,Goku Siêu Saiyan,Goku Ultra Instinct,Bản năng siêu phàm của Goku
Cartoons,Hoạt hình,Dorami,Dorami,Mini Doraemon,Đôrêmon nhỏ
Cartoons,Hoạt hình,Nobita's Homework,Bài tập về nhà của Nobita,Shinchan's Homework,Bài tập về nhà của Shinchan
Cartoons,Hoạt hình,Naruto Talk no Jutsu,Naruto Talk no Jutsu,Goku's Spirit Bomb Speech,Bài phát biểu về quả bom tinh thần của Goku
Cartoons,Hoạt hình,Mangekyou Sharingan,Mangekyou Sharingan,Rinnegan,Rinnegan
Cartoons,Hoạt hình,Bankai (Bleach),Bankai (Thuốc tẩy),Gear 5 (One Piece),Gear 5 (One Piece)
Cartoons,Hoạt hình,Titan Form (AOT),Mẫu Titan (AOT),Hollow Form (Bleach),Dạng rỗng (Tẩy trắng)
Cartoons,Hoạt hình,Senzu Bean,Đậu Senzu,Health Potion,Thuốc sức khỏe
Cartoons,Hoạt hình,Pokeball,Pokeball,Beyblade Launcher,Trình khởi chạy Beyblade
Cartoons,Hoạt hình,Dragon Ball Wish,Điều Ước Ngọc Rồng,Genie Lamp Wish,Đèn thần ước
Cartoons,Hoạt hình,Capsule Corp,Tập đoàn Capsule,Stark Industries,Công nghiệp Stark
Cartoons,Hoạt hình,Konoha,Konoha,Gotham,Gotham
Cartoons,Hoạt hình,Thanos Snap,Cú búng tay của Thanos,Lelouch Geass,Lelouch Geass
Cartoons,Hoạt hình,Ben 10 Diamondhead,Ben 10 Diamondhead,Ben 10 Chromastone,Ben 10 Chromastone
Cartoons,Hoạt hình,Shinchan's Nene,Nene của Shinchan,Shinchan's Kazama,Kazama của Shinchan
Cartoons,Hoạt hình,Nobita's Zero,Số 0 của Nobita,Shinchan's Zero,Zero của Shinchan
Cartoons,Hoạt hình,Tom's Owner,Chủ sở hữu của Tom,Oggy's Cockroaches,Những chú gián của Oggy
Cartoons,Hoạt hình,Gojo's Infinity,Sự vô cực của Gojo,Kakashi's Kamui,Kamui của Kakashi
Cartoons,Hoạt hình,Itachi's Tsukuyomi,Tsukuyomi của Itachi,Obito's Kamui,Kamui của Obito
Cartoons,Hoạt hình,Zoro's Three Swords,Ba thanh kiếm của Zoro,Killer Bee's Seven Swords,Bảy thanh kiếm của Killer Bee
Cartoons,Hoạt hình,Eren Founding Titan,Eren Người sáng lập Titan,Eren Attack Titan,Eren Tấn Công Titan
Cartoons,Hoạt hình,Mikasa's Scarf,Khăn quàng cổ của Mikasa,Hinata's Scarf,Khăn quàng cổ của Hinata
Cartoons,Hoạt hình,Death Note Rules,Nội quy của Death Note,Code Geass Rules,Quy tắc Code Geass
Cartoons,Hoạt hình,Netero's Rose,Hoa hồng của Netero,Goku's Spirit Bomb,Bom tinh thần của Goku
Social Media,Mạng xã hội,Like,Like,Save,Lưu
Social Media,Mạng xã hội,Share,Share,Repost,Repost
Social Media,Mạng xã hội,Comment,Bình luận,Reply,Trả lời
Social Media,Mạng xã hội,Unfollow,Unfollow,Mute,Mute
Social Media,Mạng xã hội,Story,Story,Status,Status
Social Media,Mạng xã hội,Reel,Reel,TikTok,TikTok
Social Media,Mạng xã hội,Bio,Bio,About Me,Giới thiệu về tôi
Social Media,Mạng xã hội,Highlight,Highlight,Featured,Nổi bật
Social Media,Mạng xã hội,Archive,Lưu trữ,Delete,Xóa
Social Media,Mạng xã hội,Draft,Bản nháp,Scheduled Post,Bài đăng theo lịch trình
Social Media,Mạng xã hội,Reach,Tiếp cận,Impressions,Số lần hiển thị
Social Media,Mạng xã hội,Engagement,Tương tác,Interaction,Tương tác
Social Media,Mạng xã hội,Verified,Đã xác minh,Blue Tick,Đánh dấu màu xanh
Social Media,Mạng xã hội,Lurker,Kẻ ẩn nấp,Viewer,Người xem
Social Media,Mạng xã hội,Caption,Chú thích,Description,Mô tả
Social Media,Mạng xã hội,Filter,Filter,Preset,Cài sẵn
Social Media,Mạng xã hội,Boomerang,Boomerang,GIF,GIF
Social Media,Mạng xã hội,Instagram Feed,Instagram Feed,Instagram Story,Instagram Story
Social Media,Mạng xã hội,Private Account,Private Account,Public Account,Public Account
